5091,5091
24961,24961
25766,25766
14607,14607
18397,18397
22845,22845
21211,21211
18422,18422
10410,10410
19239,19239
18351,18351
18808,18808
14461,14461
20166,20166
20824,20824
15173,15173
21181,21181
15283,15283
17485,17485
17307,17307
22083,22083
16324,16324
13597,13597
18555,18555
16432,16432
14665,14665
21376,21376
14015,14015
15541,15541
15949,15949
16378,16378
15616,15616
20785,20785
19009,19009
21544,21544
22996,22996
15469,15469
18475,18475
26350,26350
17734,17734
20983,20983
25183,25183
21004,21004
20590,20590
28249,28249
20611,20611
14290,14290
15301,15301
25228,25228
15355,15355
16882,16882
18316,18316
17866,17866
18826,18826
16758,16758
20889,20889
10737,10737
14866,14866
13516,13516
16078,16078
17005,17005
18096,18096
18313,18313
19468,19468
17212,17212
27799,27799
24382,24382
22723,22723
15670,15670
16003,16003
17173,17173
16390,16390
23080,23080
16840,16840
18778,18778
17284,17284
17533,17533
17293,17293
21793,21793
14329,14329
15267,15267
4231,4231
13918,13918
21669,21669
20334,20334
16508,16508
7759,7759
7719,7719
15531,15531
22334,22334
14515,14515
13685,13685
12860,12860
9405,9405
11823,11823
12070,12070
14346,14346
10819,10819
14566,14566
10191,10191
10639,10639
12867,12867
12113,12113
10290,10290
20727,20727
20045,20045
12653,12653
18983,18983
12938,12938
17594,17594
19566,19566
18828,18828
19530,19530
16346,16346
20686,20686
13908,13908
15257,15257
15139,15139
16315,16315
12482,12482
18799,18799
21862,21862
14980,14980
14745,14745
17269,17269
25813,25813
16861,16861
20147,20147
18938,18938
20870,20870
19870,19870
16912,16912
16548,16548
16630,16630
17558,17558
14921,14921
22810,22810
27187,27187
18386,18386
20945,20945
19277,19277
20687,20687
16591,16591
15370,15370
24214,24214
23624,23624
20329,20329
23666,23666
16516,16516
22660,22660
24339,24339
17713,17713
16053,16053
17332,17332
15476,15476
16388,16388
20443,20443
13946,13946
12664,12664
8548,8548
14000,14000
12386,12386
14147,14147
24238,24238
21504,21504
14522,14522
18772,18772
17336,17336
14715,14715
20450,20450
17928,17928
25012,25012
25806,25806
26905,26905
16338,16338
20051,20051
20471,20471
23601,23601
16625,16625
20600,20600
14275,14275
15296,15296
16196,16196
16484,16484
13196,13196
23920,23920
19769,19769
20345,20345
24043,24043
14283,14283
20144,20144
15781,15781
14291,14291
19350,19350
19364,19364
14876,14876
16255,16255
18276,18276
20089,20089
23206,23206
19486,19486
15378,15378
16594,16594
20271,20271
10885,10885
22738,22738
10429,10429
23263,23263
14032,14032
12607,12607
11515,11515
14701,14701
11068,11068
15013,15013
16876,16876
16558,16558
13120,13120
14488,14488
13414,13414
21379,21379
15166,15166
15370,15370
14179,14179
14998,14998
13747,13747
11596,11596
15091,15091
13651,13651
11791,11791
12583,12583
13726,13726
14392,14392
19408,19408
18586,18586
16087,16087
15075,15075
31453,31453
26413,26413
21079,21079
25636,25636
21802,21802
15455,15455
16033,16033
15781,15781
15577,15577
16711,16711
16016,16016
15016,15016
16654,16654
21346,21346
20521,20521
15439,15439
15694,15694
17554,17554
20410,20410
14533,14533
21892,21892
22378,22378
12619,12619
13807,13807
17467,17467
20899,20899
19447,19447
17374,17374
20620,20620
20023,20023
26365,26365
16138,16138
13717,13717
21082,21082
20938,20938
14200,14200
20875,20875
18730,18730
22093,22093
23227,23227
23158,23158
22849,22849
23851,23851
29515,29515
17194,17194
22801,22801
18850,18850
15232,15232
22072,22072
18163,18163
21742,21742
16864,16864
16153,16153
18541,18541
16153,16153
16279,16279
21454,21454
21379,21379
20212,20212
22882,22882
21868,21868
21382,21382
18334,18334
16954,16954
